XY
	CURVE1 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-co2-100mvps.DTA)[BKS]
-8.278e-001	-7.342e-005		
-8.240e-001	-7.362e-005		
-8.198e-001	-7.589e-005		
-8.160e-001	-7.476e-005		
-8.120e-001	-7.405e-005		
-8.080e-001	-7.307e-005		
-8.039e-001	-7.229e-005		
-8.000e-001	-7.251e-005		
-7.959e-001	-7.125e-005		
-7.921e-001	-7.125e-005		
-7.880e-001	-7.080e-005		
-7.840e-001	-6.990e-005		
-7.799e-001	-7.022e-005		
-7.760e-001	-6.957e-005		
-7.720e-001	-6.949e-005		
-7.680e-001	-6.872e-005		
-7.640e-001	-6.787e-005		
-7.601e-001	-6.836e-005		
-7.560e-001	-6.725e-005		
-7.521e-001	-6.708e-005		
-7.480e-001	-6.642e-005		
-7.441e-001	-6.578e-005		
-7.401e-001	-6.601e-005		
-7.361e-001	-6.465e-005		
-7.321e-001	-6.456e-005		
-7.281e-001	-6.415e-005		
-7.240e-001	-6.314e-005		
-7.201e-001	-6.299e-005		
-7.161e-001	-6.172e-005		
-7.121e-001	-6.188e-005		
-7.081e-001	-6.116e-005		
-7.041e-001	-5.984e-005		
-7.001e-001	-5.956e-005		
-6.961e-001	-5.827e-005		
-6.921e-001	-5.801e-005		
-6.881e-001	-5.724e-005		
-6.841e-001	-5.719e-005		
-6.801e-001	-5.755e-005		
-6.761e-001	-5.542e-005		
-6.722e-001	-5.448e-005		
-6.681e-001	-5.323e-005		
-6.642e-001	-5.195e-005		
-6.602e-001	-5.153e-005		
-6.562e-001	-4.978e-005		
-6.521e-001	-4.923e-005		
-6.482e-001	-4.828e-005		
-6.442e-001	-4.698e-005		
-6.402e-001	-4.662e-005		
-6.362e-001	-4.493e-005		
-6.322e-001	-4.435e-005		
-6.282e-001	-4.317e-005		
-6.242e-001	-4.180e-005		
-6.202e-001	-4.137e-005		
-6.162e-001	-3.947e-005		
-6.123e-001	-3.862e-005		
-6.082e-001	-3.712e-005		
-6.042e-001	-3.526e-005		
-6.003e-001	-3.437e-005		
-5.963e-001	-3.210e-005		
