XY
	CURVE (PWRDISCHARGE_#1.DTA)
-2.887e-002	4.997e-002
-2.887e-002	4.997e-002
-2.888e-002	4.997e-002
-2.888e-002	4.997e-002
-2.889e-002	4.997e-002
-2.889e-002	4.998e-002
-2.890e-002	4.997e-002
-2.891e-002	4.997e-002
-2.891e-002	4.997e-002
-2.892e-002	4.997e-002
-2.892e-002	4.997e-002
-2.892e-002	4.997e-002
-2.893e-002	4.997e-002
-2.893e-002	4.997e-002
-2.894e-002	4.997e-002
-2.894e-002	4.997e-002
-2.895e-002	4.997e-002
-2.895e-002	4.997e-002
-2.896e-002	4.997e-002
-2.896e-002	4.997e-002
-2.897e-002	4.997e-002
-2.897e-002	4.997e-002
-2.897e-002	4.997e-002
-2.898e-002	4.997e-002
-2.898e-002	4.997e-002
-2.898e-002	4.997e-002
-2.899e-002	4.997e-002
-2.899e-002	4.997e-002
-2.900e-002	4.997e-002
-2.900e-002	4.997e-002
-2.900e-002	4.997e-002
-2.901e-002	4.997e-002
-2.901e-002	4.997e-002
-2.901e-002	4.997e-002
-2.902e-002	4.997e-002
-2.902e-002	4.997e-002
-2.902e-002	4.997e-002
-2.902e-002	4.998e-002
-2.903e-002	4.997e-002
-2.903e-002	4.997e-002
-2.903e-002	4.997e-002
-2.904e-002	4.997e-002
-2.904e-002	4.997e-002
-2.904e-002	4.997e-002
-2.905e-002	4.997e-002
-2.905e-002	4.997e-002
-2.905e-002	4.997e-002
-2.905e-002	4.997e-002
-2.906e-002	4.997e-002
-2.906e-002	4.997e-002
-2.906e-002	4.997e-002
-2.906e-002	4.997e-002
-2.907e-002	4.997e-002
-2.907e-002	4.997e-002
-2.907e-002	4.997e-002
-2.907e-002	4.997e-002
-2.908e-002	4.997e-002
-2.908e-002	4.997e-002
-2.908e-002	4.997e-002
-2.908e-002	4.997e-002
-2.909e-002	4.997e-002
-2.909e-002	4.997e-002
-2.909e-002	4.997e-002
-2.909e-002	4.997e-002
-2.909e-002	4.997e-002
-2.910e-002	4.997e-002
-2.910e-002	4.997e-002
-2.910e-002	4.997e-002
-2.910e-002	4.998e-002
-2.910e-002	4.998e-002
-2.911e-002	4.997e-002
-2.911e-002	4.997e-002
-2.911e-002	4.997e-002
-2.911e-002	4.997e-002
-2.911e-002	4.997e-002
-2.912e-002	4.997e-002
-2.912e-002	4.997e-002
-2.912e-002	4.997e-002
-2.912e-002	4.997e-002
-2.912e-002	4.997e-002
-2.913e-002	4.997e-002
-2.913e-002	4.997e-002
-2.913e-002	4.997e-002
-2.913e-002	4.997e-002
-2.913e-002	4.997e-002
-2.913e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.914e-002	4.997e-002
-2.915e-002	4.997e-002
-2.915e-002	4.997e-002
-2.915e-002	4.997e-002
	
